"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image12_15_white_T_nh_15_purple_0_nh.png","white","T",1096,322,329.394339828588
"2","image12_15_white_T_nh_15_purple_0_nh.png","white","T",446,848,506.950455611241
"3","image12_15_white_T_nh_15_purple_0_nh.png","white","T",766,307,226.291031883968
"4","image12_15_white_T_nh_15_purple_0_nh.png","white","T",969,631,172.563315272331
"5","image12_15_white_T_nh_15_purple_0_nh.png","white","T",1116,876,451.666356703461
"6","image12_15_white_T_nh_15_purple_0_nh.png","white","T",824,537,17.9600791881451
"7","image12_15_white_T_nh_15_purple_0_nh.png","white","T",697,676,206.160207390057
"8","image12_15_white_T_nh_15_purple_0_nh.png","white","T",1189,218,467.210906455651
"9","image12_15_white_T_nh_15_purple_0_nh.png","white","T",1084,739,330.095184925668
"10","image12_15_white_T_nh_15_purple_0_nh.png","white","T",552,324,345.514251193461
"11","image12_15_white_T_nh_15_purple_0_nh.png","white","T",1075,478,244.371093034981
"12","image12_15_white_T_nh_15_purple_0_nh.png","white","T",1157,570,325.733885932128
"13","image12_15_white_T_nh_15_purple_0_nh.png","white","T",584,513,250.917046938713
"14","image12_15_white_T_nh_15_purple_0_nh.png","white","T",446,571,391.734813929582
"15","image12_15_white_T_nh_15_purple_0_nh.png","white","0",520,229,430.416113907357
"16","image12_15_white_T_nh_15_purple_0_nh.png","purple","0",1539,431,330.034429180418
"17","image12_15_white_T_nh_15_purple_0_nh.png","purple","0",1277,524,53.7375515300468
"18","image12_15_white_T_nh_15_purple_0_nh.png","purple","0",1413,672,214.443134135317
"19","image12_15_white_T_nh_15_purple_0_nh.png","purple","0",1307,288,277.140141043801
"20","image12_15_white_T_nh_15_purple_0_nh.png","purple","0",982,380,306.22397757923
"21","image12_15_white_T_nh_15_purple_0_nh.png","purple","0",1253,731,176.9777512696
"22","image12_15_white_T_nh_15_purple_0_nh.png","purple","0",1551,235,451.090003337595
"23","image12_15_white_T_nh_15_purple_0_nh.png","purple","0",1048,227,376.78976159716
"24","image12_15_white_T_nh_15_purple_0_nh.png","purple","0",838,902,525.832220812347
"25","image12_15_white_T_nh_15_purple_0_nh.png","purple","0",963,868,413.392780671254
"26","image12_15_white_T_nh_15_purple_0_nh.png","purple","0",801,807,500.233603207319
"27","image12_15_white_T_nh_15_purple_0_nh.png","purple","0",1601,761,421.494868823387
"28","image12_15_white_T_nh_15_purple_0_nh.png","purple","0",1320,162,402.601611742648
"29","image12_15_white_T_nh_15_purple_0_nh.png","purple","0",1216,839,284.387278977883
"30","image12_15_white_T_nh_15_purple_0_nh.png","purple","T",1389,500,165.267433102969
