"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image15_15_purple_T_h_15_white_0_h.png","purple","T",1022,367,315.209841921924
"2","image15_15_purple_T_h_15_white_0_h.png","purple","T",811,356,195.602431250512
"3","image15_15_purple_T_h_15_white_0_h.png","purple","T",859,777,251.041253803257
"4","image15_15_purple_T_h_15_white_0_h.png","purple","T",606,737,247.160226933416
"5","image15_15_purple_T_h_15_white_0_h.png","purple","T",517,352,312.240149742328
"6","image15_15_purple_T_h_15_white_0_h.png","purple","T",1031,498,273.012901608046
"7","image15_15_purple_T_h_15_white_0_h.png","purple","T",1262,710,526.269744944971
"8","image15_15_purple_T_h_15_white_0_h.png","purple","T",347,632,424.069857976778
"9","image15_15_purple_T_h_15_white_0_h.png","purple","T",595,866,361.549320440671
"10","image15_15_purple_T_h_15_white_0_h.png","purple","T",989,909,428.571399470898
"11","image15_15_purple_T_h_15_white_0_h.png","purple","T",609,554,153.374632119454
"12","image15_15_purple_T_h_15_white_0_h.png","purple","T",696,283,270.605576028614
"13","image15_15_purple_T_h_15_white_0_h.png","purple","T",777,586,43.236301620025
"14","image15_15_purple_T_h_15_white_0_h.png","purple","T",304,364,492.73939472211
"15","image15_15_purple_T_h_15_white_0_h.png","purple","T",1007,190,431.588744575718
"16","image15_15_purple_T_h_15_white_0_h.png","white","0",1502,270,369.731926911618
"17","image15_15_purple_T_h_15_white_0_h.png","white","0",1018,752,327.230547337976
"18","image15_15_purple_T_h_15_white_0_h.png","white","0",1592,476,314.667810732383
"19","image15_15_purple_T_h_15_white_0_h.png","white","0",1477,427,235.991449939282
"20","image15_15_purple_T_h_15_white_0_h.png","white","0",1408,834,282.977203636225
"21","image15_15_purple_T_h_15_white_0_h.png","white","0",1175,813,265.585575244172
"22","image15_15_purple_T_h_15_white_0_h.png","white","0",1154,441,193.545596120857
"23","image15_15_purple_T_h_15_white_0_h.png","white","0",925,681,383.272876391975
"24","image15_15_purple_T_h_15_white_0_h.png","white","0",1226,587,68.4136763455314
"25","image15_15_purple_T_h_15_white_0_h.png","white","0",1522,735,278.877567720636
"26","image15_15_purple_T_h_15_white_0_h.png","white","0",1522,863,367.489361901962
"27","image15_15_purple_T_h_15_white_0_h.png","white","0",783,212,626.474924566907
"28","image15_15_purple_T_h_15_white_0_h.png","white","0",1378,520,101.052285696289
"29","image15_15_purple_T_h_15_white_0_h.png","white","0",1398,698,161.259514792496
"30","image15_15_purple_T_h_15_white_0_h.png","white","0",1321,320,256.75441789989
