"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image17_15_blue_0_nh_15_red_T_h.png","blue","0",552,386,255.213810145315
"2","image17_15_blue_0_nh_15_red_T_h.png","blue","0",819,688,158.810648957248
"3","image17_15_blue_0_nh_15_red_T_h.png","blue","0",378,633,307.261054407413
"4","image17_15_blue_0_nh_15_red_T_h.png","blue","0",1227,642,544.362154778926
"5","image17_15_blue_0_nh_15_red_T_h.png","blue","0",546,894,320.71039202925
"6","image17_15_blue_0_nh_15_red_T_h.png","blue","0",974,820,361.376934638735
"7","image17_15_blue_0_nh_15_red_T_h.png","blue","0",483,251,406.586877418454
"8","image17_15_blue_0_nh_15_red_T_h.png","blue","0",387,492,317.518748352842
"9","image17_15_blue_0_nh_15_red_T_h.png","blue","0",929,594,245.29007770846
"10","image17_15_blue_0_nh_15_red_T_h.png","blue","0",1208,751,544.167151607747
"11","image17_15_blue_0_nh_15_red_T_h.png","blue","0",774,419,206.179263964369
"12","image17_15_blue_0_nh_15_red_T_h.png","blue","0",682,575,29.5300223877704
"13","image17_15_blue_0_nh_15_red_T_h.png","blue","0",305,752,406.640572933341
"14","image17_15_blue_0_nh_15_red_T_h.png","blue","0",358,896,437.291918770771
"15","image17_15_blue_0_nh_15_red_T_h.png","blue","T",637,274,333.782796973654
"16","image17_15_blue_0_nh_15_red_T_h.png","red","T",1213,422,111.443797494522
"17","image17_15_blue_0_nh_15_red_T_h.png","red","T",900,189,399.565413918672
"18","image17_15_blue_0_nh_15_red_T_h.png","red","T",1039,303,228.615660006046
"19","image17_15_blue_0_nh_15_red_T_h.png","red","T",1291,260,289.114025948241
"20","image17_15_blue_0_nh_15_red_T_h.png","red","T",1109,868,362.052648105217
"21","image17_15_blue_0_nh_15_red_T_h.png","red","T",893,758,352.849713050755
"22","image17_15_blue_0_nh_15_red_T_h.png","red","T",1461,585,328.885876863084
"23","image17_15_blue_0_nh_15_red_T_h.png","red","T",891,339,301.759374336573
"24","image17_15_blue_0_nh_15_red_T_h.png","red","T",1529,472,389.213206353536
"25","image17_15_blue_0_nh_15_red_T_h.png","red","T",1175,197,312.213260448687
"26","image17_15_blue_0_nh_15_red_T_h.png","red","T",1124,682,175.464868278525
"27","image17_15_blue_0_nh_15_red_T_h.png","red","T",1421,362,315.146505612866
"28","image17_15_blue_0_nh_15_red_T_h.png","red","T",1041,741,254.261912208652
"29","image17_15_blue_0_nh_15_red_T_h.png","red","T",1138,537,29.7946303887127
"30","image17_15_blue_0_nh_15_red_T_h.png","red","T",896,896,459.598868579983
