"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image19_15_purple_0_nh_15_white_T_h.png","purple","0",404,876,484.427845791071
"2","image19_15_purple_0_nh_15_white_T_h.png","purple","0",896,423,186.40745097173
"3","image19_15_purple_0_nh_15_white_T_h.png","purple","0",826,557,85.9597063228528
"4","image19_15_purple_0_nh_15_white_T_h.png","purple","0",642,897,379.965267418542
"5","image19_15_purple_0_nh_15_white_T_h.png","purple","0",733,842,311.196836602031
"6","image19_15_purple_0_nh_15_white_T_h.png","purple","0",594,589,160.885065945987
"7","image19_15_purple_0_nh_15_white_T_h.png","purple","0",1259,379,536.89881521361
"8","image19_15_purple_0_nh_15_white_T_h.png","purple","0",389,330,408.011443194646
"9","image19_15_purple_0_nh_15_white_T_h.png","purple","0",637,752,245.569279656701
"10","image19_15_purple_0_nh_15_white_T_h.png","purple","0",494,185,426.906708518123
"11","image19_15_purple_0_nh_15_white_T_h.png","purple","0",826,672,163.076887114977
"12","image19_15_purple_0_nh_15_white_T_h.png","purple","0",989,290,343.618011428065
"13","image19_15_purple_0_nh_15_white_T_h.png","purple","0",788,180,353.738798801853
"14","image19_15_purple_0_nh_15_white_T_h.png","purple","0",1127,547,383.267449410693
"15","image19_15_purple_0_nh_15_white_T_h.png","purple","T",557,446,205.47247450152
"16","image19_15_purple_0_nh_15_white_T_h.png","white","T",901,829,493.222838977362
"17","image19_15_purple_0_nh_15_white_T_h.png","white","T",1628,520,349.979002544756
"18","image19_15_purple_0_nh_15_white_T_h.png","white","T",1514,771,350.946960221753
"19","image19_15_purple_0_nh_15_white_T_h.png","white","T",1290,642,131.403585271568
"20","image19_15_purple_0_nh_15_white_T_h.png","white","T",1299,801,290.616761770931
"21","image19_15_purple_0_nh_15_white_T_h.png","white","T",1070,826,377.439402053127
"22","image19_15_purple_0_nh_15_white_T_h.png","white","T",1490,194,381.393544197533
"23","image19_15_purple_0_nh_15_white_T_h.png","white","T",1468,329,263.100555343812
"24","image19_15_purple_0_nh_15_white_T_h.png","white","T",1616,369,366.545725508959
"25","image19_15_purple_0_nh_15_white_T_h.png","white","T",1138,443,155.818812157654
"26","image19_15_purple_0_nh_15_white_T_h.png","white","T",1171,209,320.565285429072
"27","image19_15_purple_0_nh_15_white_T_h.png","white","T",1010,419,283.52078505033
"28","image19_15_purple_0_nh_15_white_T_h.png","white","T",1400,784,298.843942923764
"29","image19_15_purple_0_nh_15_white_T_h.png","white","T",1394,251,284.770847446777
"30","image19_15_purple_0_nh_15_white_T_h.png","white","T",783,280,546.424409736201
