"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image23_15_purple_0_h_15_white_T_nh.png","purple","0",1108,693,278.344351079338
"2","image23_15_purple_0_h_15_white_T_nh.png","purple","0",848,236,275.635346870543
"3","image23_15_purple_0_h_15_white_T_nh.png","purple","0",377,550,526.275825441797
"4","image23_15_purple_0_h_15_white_T_nh.png","purple","0",922,475,37.517699526727
"5","image23_15_purple_0_h_15_white_T_nh.png","purple","0",1014,322,216.025718633479
"6","image23_15_purple_0_h_15_white_T_nh.png","purple","0",677,736,321.094136421773
"7","image23_15_purple_0_h_15_white_T_nh.png","purple","0",516,567,390.201116235091
"8","image23_15_purple_0_h_15_white_T_nh.png","purple","0",1123,177,396.965209782643
"9","image23_15_purple_0_h_15_white_T_nh.png","purple","0",633,201,406.624533336481
"10","image23_15_purple_0_h_15_white_T_nh.png","purple","0",1186,899,484.86490672947
"11","image23_15_purple_0_h_15_white_T_nh.png","purple","0",1229,240,422.193136425078
"12","image23_15_purple_0_h_15_white_T_nh.png","purple","0",1025,907,419.214556575084
"13","image23_15_purple_0_h_15_white_T_nh.png","purple","0",956,214,297.441833716181
"14","image23_15_purple_0_h_15_white_T_nh.png","purple","0",1140,804,381.397313979938
"15","image23_15_purple_0_h_15_white_T_nh.png","purple","0",768,575,150.064356564479
"16","image23_15_purple_0_h_15_white_T_nh.png","white","T",1318,732,173.775461763481
"17","image23_15_purple_0_h_15_white_T_nh.png","white","T",1592,600,357.726959814015
"18","image23_15_purple_0_h_15_white_T_nh.png","white","T",1258,382,198.75087700715
"19","image23_15_purple_0_h_15_white_T_nh.png","white","T",1242,811,231.709828113622
"20","image23_15_purple_0_h_15_white_T_nh.png","white","T",821,390,455.146105967938
"21","image23_15_purple_0_h_15_white_T_nh.png","white","T",1092,467,181.781859503209
"22","image23_15_purple_0_h_15_white_T_nh.png","white","T",1463,302,359.159543626197
"23","image23_15_purple_0_h_15_white_T_nh.png","white","T",1257,649,73.0345428167005
"24","image23_15_purple_0_h_15_white_T_nh.png","white","T",797,734,464.358027579774
"25","image23_15_purple_0_h_15_white_T_nh.png","white","T",1534,792,366.987072130765
"26","image23_15_purple_0_h_15_white_T_nh.png","white","T",1332,307,289.200007684033
"27","image23_15_purple_0_h_15_white_T_nh.png","white","T",1378,851,307.007672723519
"28","image23_15_purple_0_h_15_white_T_nh.png","white","T",1159,593,77.0760086610036
"29","image23_15_purple_0_h_15_white_T_nh.png","white","T",1254,484,97.2997659012829
"30","image23_15_purple_0_h_15_white_T_nh.png","white","0",1026,597,209.606880718273
