"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image29_15_blue_0_h_15_red_T_h.png","blue","0",328,553,393.611794087073
"2","image29_15_blue_0_h_15_red_T_h.png","blue","0",518,915,437.153647029407
"3","image29_15_blue_0_h_15_red_T_h.png","blue","0",1133,534,412.247633238944
"4","image29_15_blue_0_h_15_red_T_h.png","blue","0",511,358,269.861898837988
"5","image29_15_blue_0_h_15_red_T_h.png","blue","0",780,229,304.542680825602
"6","image29_15_blue_0_h_15_red_T_h.png","blue","0",625,347,204.553606122644
"7","image29_15_blue_0_h_15_red_T_h.png","blue","0",653,528,67.8005244161954
"8","image29_15_blue_0_h_15_red_T_h.png","blue","0",1129,696,441.521133255376
"9","image29_15_blue_0_h_15_red_T_h.png","blue","0",1104,208,499.070780996488
"10","image29_15_blue_0_h_15_red_T_h.png","blue","0",1022,744,370.800095888757
"11","image29_15_blue_0_h_15_red_T_h.png","blue","0",528,722,273.699429626329
"12","image29_15_blue_0_h_15_red_T_h.png","blue","0",340,659,402.789743883552
"13","image29_15_blue_0_h_15_red_T_h.png","blue","0",879,500,160.612508161033
"14","image29_15_blue_0_h_15_red_T_h.png","blue","0",394,251,428.228417760636
"15","image29_15_blue_0_h_15_red_T_h.png","blue","0",868,672,206.108493544325
"16","image29_15_blue_0_h_15_red_T_h.png","red","T",1236,755,149.650630172783
"17","image29_15_blue_0_h_15_red_T_h.png","red","T",1594,622,374.266987293533
"18","image29_15_blue_0_h_15_red_T_h.png","red","T",983,884,365.203291940865
"19","image29_15_blue_0_h_15_red_T_h.png","red","T",1547,451,361.90115286421
"20","image29_15_blue_0_h_15_red_T_h.png","red","T",1430,688,225.307000433729
"21","image29_15_blue_0_h_15_red_T_h.png","red","T",1118,916,326.180386357678
"22","image29_15_blue_0_h_15_red_T_h.png","red","T",1355,835,265.624630718698
"23","image29_15_blue_0_h_15_red_T_h.png","red","T",1191,390,218.145160641054
"24","image29_15_blue_0_h_15_red_T_h.png","red","T",1298,228,386.146143894309
"25","image29_15_blue_0_h_15_red_T_h.png","red","T",923,330,405.629195749572
"26","image29_15_blue_0_h_15_red_T_h.png","red","T",953,603,267.085837221752
"27","image29_15_blue_0_h_15_red_T_h.png","red","T",1370,486,192.166710031796
"28","image29_15_blue_0_h_15_red_T_h.png","red","T",950,206,482.800211727837
"29","image29_15_blue_0_h_15_red_T_h.png","red","T",1515,892,410.691260086103
"30","image29_15_blue_0_h_15_red_T_h.png","red","T",838,807,431.619714306214
