"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image30_15_red_0_h_15_blue_T_h.png","red","0",550,578,239.84654353241
"2","image30_15_red_0_h_15_blue_T_h.png","red","0",726,435,114.757270406328
"3","image30_15_red_0_h_15_blue_T_h.png","red","0",534,186,428.669839283231
"4","image30_15_red_0_h_15_blue_T_h.png","red","0",840,603,88.6004013033299
"5","image30_15_red_0_h_15_blue_T_h.png","red","0",773,527,13.9844357928536
"6","image30_15_red_0_h_15_blue_T_h.png","red","0",1030,407,274.998480803884
"7","image30_15_red_0_h_15_blue_T_h.png","red","0",776,207,326.207956848252
"8","image30_15_red_0_h_15_blue_T_h.png","red","0",659,875,364.617559155404
"9","image30_15_red_0_h_15_blue_T_h.png","red","0",1255,646,482.794260299123
"10","image30_15_red_0_h_15_blue_T_h.png","red","0",540,761,335.071581075514
"11","image30_15_red_0_h_15_blue_T_h.png","red","0",1014,545,228.711531070133
"12","image30_15_red_0_h_15_blue_T_h.png","red","0",1191,498,406.913788303015
"13","image30_15_red_0_h_15_blue_T_h.png","red","0",327,605,464.207242990073
"14","image30_15_red_0_h_15_blue_T_h.png","red","0",475,391,341.548382777284
"15","image30_15_red_0_h_15_blue_T_h.png","red","0",1094,732,366.994592754595
"16","image30_15_red_0_h_15_blue_T_h.png","blue","T",1306,530,43.3764400977714
"17","image30_15_red_0_h_15_blue_T_h.png","blue","T",1390,847,339.824634513483
"18","image30_15_red_0_h_15_blue_T_h.png","blue","T",1591,738,387.641908065793
"19","image30_15_red_0_h_15_blue_T_h.png","blue","T",1182,837,315.551552400273
"20","image30_15_red_0_h_15_blue_T_h.png","blue","T",1189,194,345.869506541926
"21","image30_15_red_0_h_15_blue_T_h.png","blue","T",1433,208,365.986678567525
"22","image30_15_red_0_h_15_blue_T_h.png","blue","T",924,754,404.979895248586
"23","image30_15_red_0_h_15_blue_T_h.png","blue","T",1365,342,215.747032939557
"24","image30_15_red_0_h_15_blue_T_h.png","blue","T",1584,554,322.090125413507
"25","image30_15_red_0_h_15_blue_T_h.png","blue","T",825,892,566.745194558856
"26","image30_15_red_0_h_15_blue_T_h.png","blue","T",903,423,375.801253619812
"27","image30_15_red_0_h_15_blue_T_h.png","blue","T",1608,224,462.685691251511
"28","image30_15_red_0_h_15_blue_T_h.png","blue","T",1344,747,229.932125250523
"29","image30_15_red_0_h_15_blue_T_h.png","blue","T",799,331,505.332546173529
"30","image30_15_red_0_h_15_blue_T_h.png","blue","T",1497,358,291.830285535199
