"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","blue","Horizontal",397,882,465.785692256762
"2","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","blue","Horizontal",1020,365,343.909548831924
"3","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","blue","Horizontal",460,782,356.063071816092
"4","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","blue","Horizontal",949,524,200.378419773964
"5","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","blue","Horizontal",405,611,355.366258637167
"6","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","blue","Horizontal",769,808,218.396682921493
"7","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","blue","Horizontal",767,173,416.863340250069
"8","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","blue","Horizontal",1195,843,503.554675393955
"9","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","blue","Horizontal",688,889,307.678909109986
"10","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","blue","Horizontal",294,686,475.564903854119
"11","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","blue","Horizontal",901,745,209.864983051273
"12","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","blue","Horizontal",1050,579,290.467515873596
"13","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","blue","Horizontal",424,191,521.304432276488
"14","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","blue","Horizontal",858,568,100.655738921225
"15","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","blue","Vertical",1219,201,601.740235576042
"16","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","red","Vertical",1540,779,366.562366983967
"17","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","red","Vertical",1258,651,101.927926606118
"18","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","red","Vertical",1282,764,216.623564943634
"19","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","red","Vertical",1497,394,287.904096686534
"20","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","red","Vertical",1029,872,393.799571130064
"21","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","red","Vertical",1030,225,394.26856610973
"22","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","red","Vertical",1373,701,192.648995729424
"23","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","red","Vertical",1369,823,296.851537903302
"24","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","red","Vertical",1535,241,416.707454003672
"25","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","red","Vertical",931,415,350.174864254354
"26","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","red","Vertical",1341,561,87.3432055488894
"27","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","red","Vertical",1512,560,257.762491883948
"28","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","red","Vertical",1149,546,105.513200859208
"29","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","red","Vertical",1159,439,145.750593671366
"30","image33_15_blue_Horizontal_nh_15_red_Vertical_h.png","red","Vertical",812,266,525.301090381084
