"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","red","Horizontal",996,636,246.919672048309
"2","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","red","Horizontal",636,579,131.655324405982
"3","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","red","Horizontal",442,668,343.309759708504
"4","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","red","Horizontal",882,385,202.743987443387
"5","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","red","Horizontal",534,201,418.396372408323
"6","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","red","Horizontal",931,225,365.360631583523
"7","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","red","Horizontal",783,296,254.874723039466
"8","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","red","Horizontal",585,704,236.352965804207
"9","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","red","Horizontal",744,861,311.473152044353
"10","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","red","Horizontal",1220,674,472.056201927035
"11","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","red","Horizontal",308,601,459.284724084938
"12","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","red","Horizontal",887,867,339.671396761308
"13","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","red","Horizontal",852,542,87.9165766192272
"14","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","red","Horizontal",1123,549,358.535341509189
"15","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","red","Vertical",544,465,236.356914667439
"16","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","blue","Vertical",1267,871,411.964167805351
"17","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","blue","Vertical",1051,187,380.371496770664
"18","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","blue","Vertical",1219,202,276.584662545767
"19","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","blue","Vertical",1582,911,523.095410884944
"20","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","blue","Vertical",1223,315,172.695711842793
"21","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","blue","Vertical",1193,793,352.696388161578
"22","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","blue","Vertical",1121,287,260.396765639582
"23","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","blue","Vertical",1367,228,239.652266604948
"24","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","blue","Vertical",1621,673,372.614647532213
"25","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","blue","Vertical",1060,911,516.130224738766
"26","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","blue","Vertical",1511,418,201.730865814387
"27","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","blue","Vertical",1565,269,316.407451801559
"28","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","blue","Vertical",821,167,574.441011380242
"29","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","blue","Vertical",1630,175,426.649593408403
"30","image34_15_red_Horizontal_nh_15_blue_Vertical_h.png","blue","Vertical",1480,519,175.537295815511
