"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","purple","Horizontal",1175,589,445.204492340318
"2","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","purple","Horizontal",458,239,441.564536619507
"3","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","purple","Horizontal",694,728,145.473846446707
"4","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","purple","Horizontal",313,723,438.427006467439
"5","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","purple","Horizontal",714,226,361.345596347873
"6","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","purple","Horizontal",461,557,270.468926126459
"7","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","purple","Horizontal",1134,367,460.193046448988
"8","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","purple","Horizontal",301,827,491.395400873879
"9","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","purple","Horizontal",363,359,431.886837030257
"10","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","purple","Horizontal",971,790,315.256149821062
"11","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","purple","Horizontal",476,810,337.851209854279
"12","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","purple","Horizontal",984,580,254.296362537886
"13","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","purple","Horizontal",841,253,352.024771855618
"14","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","purple","Horizontal",1175,878,531.868442380256
"15","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","purple","Vertical",887,879,331.626054464965
"16","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","white","Vertical",835,615,438.47319441697
"17","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","white","Vertical",1061,656,232.461628852783
"18","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","white","Vertical",1280,827,275.155971930265
"19","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","white","Vertical",1602,162,512.918520711515
"20","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","white","Vertical",1353,636,118.793976652391
"21","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","white","Vertical",1261,412,140.291157557734
"22","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","white","Vertical",1156,698,184.527709451875
"23","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","white","Vertical",1439,210,382.010831725431
"24","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","white","Vertical",1592,749,378.35804324593
"25","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","white","Vertical",1069,759,287.740755233287
"26","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","white","Vertical",1610,466,351.758357714813
"27","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","white","Vertical",1311,312,243.724452792265
"28","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","white","Vertical",934,176,503.593561868652
"29","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","white","Vertical",1035,887,408.540257774215
"30","image35_15_purple_Horizontal_nh_15_white_Vertical_h.png","white","Vertical",1496,716,280.059652375862
