"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","blue","Horizontal",947,239,336.851309103059
"2","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","blue","Horizontal",453,193,447.61740111146
"3","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","blue","Horizontal",298,385,480.784433099816
"4","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","blue","Horizontal",633,559,132.895965995126
"5","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","blue","Horizontal",391,724,421.887747050221
"6","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","blue","Horizontal",1025,499,266.019556507495
"7","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","blue","Horizontal",1108,678,382.845492478508
"8","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","blue","Horizontal",553,307,296.112598703789
"9","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","blue","Horizontal",1151,519,391.266666666667
"10","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","blue","Horizontal",757,714,195.019155754277
"11","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","blue","Horizontal",733,905,386.92463233957
"12","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","blue","Horizontal",1193,333,471.503981366483
"13","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","blue","Horizontal",422,614,350.840140868237
"14","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","blue","Horizontal",958,843,379.849537463337
"15","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","blue","Horizontal",774,273,246.413347401836
"16","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","red","Vertical",1235,896,360.607881839047
"17","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","red","Vertical",882,677,428.053631115438
"18","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","red","Vertical",1558,705,317.468388627557
"19","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","red","Vertical",945,409,366.194635557528
"20","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","red","Vertical",1265,488,55.8322885474386
"21","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","red","Vertical",1470,789,309.5020373295
"22","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","red","Vertical",1464,304,294.200120855025
"23","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","red","Vertical",1470,624,201.451014172456
"24","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","red","Vertical",1370,248,302.724700750442
"25","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","red","Vertical",1233,640,114.479304291698
"26","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","red","Vertical",1034,336,324.706397295225
"27","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","red","Vertical",860,514,428.009163972507
"28","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","red","Vertical",1622,180,490.989861855053
"29","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","red","Vertical",1508,890,414.46814647744
"30","image37_15_blue_Horizontal_h_15_red_Vertical_nh.png","red","Horizontal",1393,388,184.501972286959
