"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","red","Horizontal",783,304,291.690490455589
"2","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","red","Horizontal",1070,290,432.137102729626
"3","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","red","Horizontal",707,212,387.2744189274
"4","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","red","Horizontal",622,472,187.857593819243
"5","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","red","Horizontal",1145,511,390.229431090082
"6","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","red","Horizontal",364,882,492.216831171882
"7","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","red","Horizontal",544,792,295.217561958785
"8","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","red","Horizontal",603,648,169.415098369524
"9","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","red","Horizontal",1147,621,383.943497000391
"10","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","red","Horizontal",848,643,96.7719426739429
"11","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","red","Horizontal",1136,786,418.197491888967
"12","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","red","Horizontal",364,735,423.707456730335
"13","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","red","Horizontal",473,674,301.450950497018
"14","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","red","Horizontal",983,790,293.239166703374
"15","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","red","Horizontal",670,566,98.3277286538351
"16","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","blue","Vertical",1063,878,325.245684914582
"17","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","blue","Vertical",1296,668,148.429182515509
"18","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","blue","Vertical",1414,900,400.381179488858
"19","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","blue","Vertical",1331,562,151.004488527843
"20","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","blue","Vertical",1226,407,173.786331133633
"21","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","blue","Vertical",1376,354,294.839655104639
"22","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","blue","Vertical",1553,425,401.436780687681
"23","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","blue","Vertical",811,527,372.603483015867
"24","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","blue","Vertical",976,630,211.868565126799
"25","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","blue","Vertical",1221,187,389.839311625815
"26","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","blue","Vertical",821,780,414.003166922938
"27","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","blue","Vertical",946,357,320.021388174117
"28","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","blue","Vertical",1545,861,463.448546826458
"29","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","blue","Vertical",1257,841,277.029039793464
"30","image38_15_red_Horizontal_h_15_blue_Vertical_nh.png","blue","Horizontal",872,244,452.302283385299
