"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","purple","Horizontal",1054,704,371.417566747844
"2","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","purple","Horizontal",793,287,195.897444824809
"3","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","purple","Horizontal",363,535,398.7815720695
"4","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","purple","Horizontal",757,902,422.267698135778
"5","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","purple","Horizontal",291,864,604.721100085725
"6","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","purple","Horizontal",370,265,443.39900265512
"7","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","purple","Horizontal",989,870,453.541481626053
"8","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","purple","Horizontal",612,315,220.076370582779
"9","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","purple","Horizontal",429,668,379.00062738148
"10","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","purple","Horizontal",948,176,358.300538034142
"11","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","purple","Horizontal",1219,230,524.355994424483
"12","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","purple","Horizontal",709,372,118.325577210602
"13","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","purple","Horizontal",1067,508,310.356583446991
"14","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","purple","Horizontal",936,333,230.734498696855
"15","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","purple","Horizontal",832,167,321.384518744897
"16","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","white","Vertical",1458,695,170.973396241118
"17","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","white","Vertical",1565,171,440.168720176959
"18","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","white","Vertical",1607,461,269.574421800157
"19","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","white","Vertical",1269,447,140.849691357687
"20","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","white","Vertical",1295,616,83.7426746381769
"21","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","white","Vertical",1379,784,227.082442200086
"22","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","white","Vertical",1270,903,355.315309111343
"23","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","white","Vertical",1470,255,324.025362518979
"24","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","white","Vertical",897,730,489.68456059885
"25","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","white","Vertical",1019,606,339.920435134786
"26","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","white","Vertical",1581,839,360.168435904956
"27","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","white","Vertical",1427,444,134.662178143019
"28","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","white","Vertical",1396,917,361.141018932432
"29","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","white","Vertical",1626,283,385.811571740518
"30","image39_15_purple_Horizontal_h_15_white_Vertical_nh.png","white","Horizontal",1074,221,439.226481695061
