"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","white","Horizontal",1068,768,310.684548841568
"2","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","white","Horizontal",478,481,357.155832780159
"3","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","white","Horizontal",1216,788,446.503552306387
"4","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","white","Horizontal",919,320,276.693372205086
"5","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","white","Horizontal",671,498,170.852047755426
"6","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","white","Horizontal",751,429,165.667002011733
"7","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","white","Horizontal",722,296,299.90813408257
"8","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","white","Horizontal",886,857,285.456865782244
"9","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","white","Horizontal",943,599,123.178822133605
"10","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","white","Horizontal",781,801,225.723626489465
"11","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","white","Horizontal",827,255,323.980589267663
"12","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","white","Horizontal",1244,684,435.40030112785
"13","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","white","Horizontal",775,548,55.821341995891
"14","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","white","Horizontal",714,876,315.907722110253
"15","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","white","Horizontal",327,484,503.497390482038
"16","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","purple","Vertical",1045,410,261.550929818437
"17","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","purple","Vertical",1446,223,318.325130784374
"18","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","purple","Vertical",1048,265,338.029913206246
"19","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","purple","Vertical",1499,340,263.354429534716
"20","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","purple","Vertical",1575,555,289.805490324497
"21","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","purple","Vertical",1548,689,319.157571671981
"22","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","purple","Vertical",1101,579,204.898077644038
"23","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","purple","Vertical",1231,528,65.3265302580471
"24","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","purple","Vertical",1353,678,188.080361075319
"25","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","purple","Vertical",931,490,359.491616344835
"26","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","purple","Vertical",1575,868,464.724530113151
"27","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","purple","Vertical",1496,785,350.91911065404
"28","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","purple","Vertical",805,668,513.370128551408
"29","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","purple","Vertical",1574,261,371.358167930758
"30","image40_15_white_Horizontal_h_15_purple_Vertical_nh.png","purple","Horizontal",1128,171,367.467307691749
