"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","white","Horizontal",1031,171,447.699681085931
"2","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","white","Horizontal",755,315,250.151562946236
"3","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","white","Horizontal",598,749,283.175336339716
"4","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","white","Horizontal",893,209,360.483847688692
"5","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","white","Horizontal",392,458,428.503680782843
"6","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","white","Horizontal",1203,860,496.10698219011
"7","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","white","Horizontal",576,628,242.249329777768
"8","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","white","Horizontal",1242,734,467.495387974874
"9","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","white","Horizontal",808,917,357.600155356665
"10","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","white","Horizontal",870,397,173.713953894838
"11","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","white","Horizontal",510,890,445.307913446166
"12","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","white","Horizontal",728,744,201.322140969255
"13","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","white","Horizontal",1120,384,357.632871966645
"14","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","white","Horizontal",849,705,151.172543068435
"15","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","white","Vertical",550,230,418.617332549802
"16","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","purple","Vertical",1329,823,198.358889109838
"17","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","purple","Vertical",1075,662,214.8721687164
"18","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","purple","Vertical",1069,773,261.507645947282
"19","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","purple","Vertical",936,585,354.0861226061
"20","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","purple","Vertical",1561,810,328.070595383914
"21","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","purple","Vertical",1466,588,183.325527106535
"22","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","purple","Vertical",1280,294,335.14690642894
"23","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","purple","Vertical",1566,918,401.419459197262
"24","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","purple","Vertical",1564,336,403.029174571216
"25","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","purple","Vertical",1289,440,189.074012551229
"26","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","purple","Vertical",1016,411,348.101779496872
"27","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","purple","Vertical",1288,617,12.0850688408834
"28","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","purple","Vertical",1583,441,350.410971416263
"29","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","purple","Vertical",913,825,422.510728331903
"30","image44_15_white_Horizontal_nh_15_purple_Vertical_nh.png","purple","Horizontal",1375,913,297.159186669741
