"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","red","Horizontal",729,311,253.092912232291
"2","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","red","Horizontal",305,219,514.273100815337
"3","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","red","Horizontal",900,293,340.95897439754
"4","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","red","Horizontal",823,400,209.331847128482
"5","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","red","Horizontal",421,589,269.59826079228
"6","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","red","Horizontal",502,909,395.182601956221
"7","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","red","Horizontal",818,632,147.16347674912
"8","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","red","Horizontal",864,749,256.802301824229
"9","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","red","Horizontal",329,666,375.146667614444
"10","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","red","Horizontal",359,868,450.863566453928
"11","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","red","Horizontal",655,824,265.271852173493
"12","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","red","Horizontal",1034,584,345.637221503832
"13","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","red","Horizontal",573,191,387.733958046264
"14","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","red","Horizontal",905,476,231.974328081555
"15","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","red","Horizontal",1120,703,453.683835090278
"16","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","blue","Vertical",1359,852,237.074634286805
"17","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","blue","Vertical",1402,673,116.483971238774
"18","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","blue","Vertical",1076,297,393.882870350509
"19","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","blue","Vertical",1576,579,282.819109836816
"20","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","blue","Vertical",1559,890,374.119564964048
"21","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","blue","Vertical",1613,684,322.110719404921
"22","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","blue","Vertical",1186,529,145.373022103675
"23","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","blue","Vertical",993,887,402.204817916886
"24","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","blue","Vertical",1239,856,239.771242831347
"25","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","blue","Vertical",799,895,567.019501918193
"26","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","blue","Vertical",1276,358,266.070508616711
"27","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","blue","Vertical",1445,402,266.386402722728
"28","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","blue","Vertical",1416,259,383.315338708078
"29","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","blue","Vertical",1511,494,250.297121215744
"30","image46_15_red_Horizontal_h_15_blue_Vertical_h.png","blue","Vertical",1000,694,304.982484014337
