"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","white","Horizontal",319,248,490.074615634078
"2","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","white","Horizontal",399,620,349.174734990313
"3","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","white","Horizontal",1057,449,331.870048194905
"4","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","white","Horizontal",857,295,251.511422316275
"5","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","white","Horizontal",758,230,284.120858477906
"6","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","white","Horizontal",452,295,354.249905512416
"7","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","white","Horizontal",586,559,152.479710854337
"8","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","white","Horizontal",1222,264,550.171242028839
"9","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","white","Horizontal",325,734,462.608613072529
"10","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","white","Horizontal",960,677,281.475035403774
"11","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","white","Horizontal",1043,878,480.060894285529
"12","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","white","Horizontal",909,402,209.420300406198
"13","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","white","Horizontal",486,814,388.419526915021
"14","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","white","Horizontal",975,781,362.310542061487
"15","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","white","Horizontal",622,447,127.640885125243
"16","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","purple","Vertical",1298,440,124.516790478678
"17","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","purple","Vertical",1185,526,43.5472667850055
"18","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","purple","Vertical",820,901,542.154680674969
"19","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","purple","Vertical",1200,387,156.529755779674
"20","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","purple","Vertical",1251,750,210.124640260119
"21","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","purple","Vertical",865,712,399.039970150583
"22","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","purple","Vertical",845,178,526.324454221074
"23","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","purple","Vertical",1372,570,149.036565237454
"24","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","purple","Vertical",1549,456,334.356841978413
"25","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","purple","Vertical",1603,861,494.443422221166
"26","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","purple","Vertical",827,598,402.730469558874
"27","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","purple","Vertical",1427,754,292.757632028801
"28","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","purple","Vertical",1432,483,214.374666828377
"29","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","purple","Vertical",1613,270,472.898965013787
"30","image48_15_white_Horizontal_h_15_purple_Vertical_h.png","purple","Vertical",1099,235,331.575478251601
