"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image4_15_white_T_nh_15_purple_0_h.png","white","T",765,573,77.8856711968112
"2","image4_15_white_T_nh_15_purple_0_h.png","white","T",903,249,286.159007857131
"3","image4_15_white_T_nh_15_purple_0_h.png","white","T",796,405,98.2790810792295
"4","image4_15_white_T_nh_15_purple_0_h.png","white","T",652,385,152.820955514761
"5","image4_15_white_T_nh_15_purple_0_h.png","white","T",458,808,432.940231954071
"6","image4_15_white_T_nh_15_purple_0_h.png","white","T",423,423,342.357383121465
"7","image4_15_white_T_nh_15_purple_0_h.png","white","T",740,274,222.164903718937
"8","image4_15_white_T_nh_15_purple_0_h.png","white","T",594,886,423.416159876361
"9","image4_15_white_T_nh_15_purple_0_h.png","white","T",495,243,364.277610865364
"10","image4_15_white_T_nh_15_purple_0_h.png","white","T",345,271,469.706338518488
"11","image4_15_white_T_nh_15_purple_0_h.png","white","T",1010,742,352.82353159114
"12","image4_15_white_T_nh_15_purple_0_h.png","white","T",1044,848,454.207784071466
"13","image4_15_white_T_nh_15_purple_0_h.png","white","T",900,608,181.497964482005
"14","image4_15_white_T_nh_15_purple_0_h.png","white","T",1071,538,316.273053617352
"15","image4_15_white_T_nh_15_purple_0_h.png","white","0",1168,179,518.246380702375
"16","image4_15_white_T_nh_15_purple_0_h.png","purple","0",1026,364,309.614139786211
"17","image4_15_white_T_nh_15_purple_0_h.png","purple","0",1197,854,296.884571658564
"18","image4_15_white_T_nh_15_purple_0_h.png","purple","0",1418,370,249.159886195368
"19","image4_15_white_T_nh_15_purple_0_h.png","purple","0",1373,476,141.80614310467
"20","image4_15_white_T_nh_15_purple_0_h.png","purple","0",1491,642,241.749006662328
"21","image4_15_white_T_nh_15_purple_0_h.png","purple","0",1430,841,323.644942628321
"22","image4_15_white_T_nh_15_purple_0_h.png","purple","0",1217,595,54.5109978709699
"23","image4_15_white_T_nh_15_purple_0_h.png","purple","0",1211,359,211.588237438243
"24","image4_15_white_T_nh_15_purple_0_h.png","purple","0",909,459,368.444272885632
"25","image4_15_white_T_nh_15_purple_0_h.png","purple","0",1314,809,250.11767008528
"26","image4_15_white_T_nh_15_purple_0_h.png","purple","0",879,764,431.980148720851
"27","image4_15_white_T_nh_15_purple_0_h.png","purple","0",1579,550,317.257280802541
"28","image4_15_white_T_nh_15_purple_0_h.png","purple","0",1503,753,306.013042568813
"29","image4_15_white_T_nh_15_purple_0_h.png","purple","0",1272,213,351.473729064097
"30","image4_15_white_T_nh_15_purple_0_h.png","purple","0",1112,416,211.004223233143
