"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","purple","Vertical",880,622,150.99040440446
"2","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","purple","Vertical",1032,379,307.499217704515
"3","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","purple","Vertical",428,713,382.699580466048
"4","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","purple","Vertical",485,829,410.058819629033
"5","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","purple","Vertical",486,179,444.598135648613
"6","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","purple","Vertical",1155,603,399.732204801609
"7","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","purple","Vertical",1241,211,573.472436613614
"8","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","purple","Vertical",907,756,270.648423030486
"9","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","purple","Vertical",736,547,33.1466773934013
"10","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","purple","Vertical",427,460,342.183433588218
"11","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","purple","Vertical",873,320,234.749019640599
"12","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","purple","Vertical",1099,266,425.91130010315
"13","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","purple","Vertical",634,580,138.980941938894
"14","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","purple","Vertical",683,829,312.168280828715
"15","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","purple","Horizontal",372,613,399.861687198072
"16","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","white","Horizontal",1191,337,222.049043631757
"17","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","white","Horizontal",1350,314,199.027078001406
"18","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","white","Horizontal",1427,165,360.672211910544
"19","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","white","Horizontal",1611,592,294.20873164775
"20","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","white","Horizontal",1598,429,282.474502290816
"21","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","white","Horizontal",1280,635,132.196234607664
"22","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","white","Horizontal",1407,824,322.056482278773
"23","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","white","Horizontal",1106,473,225.299455046932
"24","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","white","Horizontal",1534,737,305.251553822599
"25","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","white","Horizontal",1427,421,134.383200008202
"26","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","white","Horizontal",1044,833,428.704534356447
"27","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","white","Horizontal",1622,197,430.783291742431
"28","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","white","Horizontal",1098,700,297.133939121363
"29","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","white","Horizontal",1379,556,67.5384664057783
"30","image51_15_purple_Vertical_nh_15_white_Horizontal_h.png","white","Horizontal",845,464,485.293153098665
