"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","blue","Vertical",393,540,379.8631332467
"2","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","blue","Vertical",644,294,252.354116273145
"3","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","blue","Vertical",819,206,309.223543734949
"4","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","blue","Vertical",1195,286,479.576479823604
"5","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","blue","Vertical",899,324,226.657450793041
"6","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","blue","Vertical",858,477,92.8848749797297
"7","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","blue","Vertical",525,186,408.56529465925
"8","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","blue","Vertical",945,169,383.891911871037
"9","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","blue","Vertical",731,709,201.572319528253
"10","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","blue","Vertical",831,647,147.776182113357
"11","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","blue","Vertical",1252,787,553.567701369941
"12","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","blue","Vertical",600,744,289.006920332368
"13","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","blue","Vertical",301,900,610.33367922801
"14","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","blue","Vertical",989,549,220.396460951622
"15","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","blue","Vertical",595,856,387.129952341588
"16","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","red","Horizontal",1133,800,272.595760951796
"17","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","red","Horizontal",1439,642,152.435939186124
"18","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","red","Horizontal",1511,494,230.64181947099
"19","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","red","Horizontal",1143,508,172.607982305441
"20","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","red","Horizontal",1316,539,47.6618179352077
"21","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","red","Horizontal",1386,757,194.598858053061
"22","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","red","Horizontal",1619,501,331.051227992822
"23","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","red","Horizontal",1406,286,316.163853440304
"24","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","red","Horizontal",847,757,483.616634214425
"25","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","red","Horizontal",1521,909,394.566406183913
"26","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","red","Horizontal",948,642,355.222534320233
"27","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","red","Horizontal",1073,435,269.737123057905
"28","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","red","Horizontal",1344,387,201.509426302813
"29","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","red","Horizontal",1569,661,281.607733479668
"30","image53_15_blue_Vertical_h_15_red_Horizontal_nh.png","red","Vertical",1220,431,171.234485104166
