"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","white","Vertical",529,867,421.541088019767
"2","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","white","Vertical",458,627,368.058721160391
"3","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","white","Vertical",1218,230,518.251118881785
"4","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","white","Vertical",1089,876,412.999461931315
"5","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","white","Vertical",978,325,284.931375753687
"6","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","white","Vertical",405,305,488.592081620468
"7","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","white","Vertical",1031,772,297.221391483782
"8","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","white","Vertical",867,257,308.878976659504
"9","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","white","Vertical",407,864,511.710095876779
"10","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","white","Vertical",405,423,438.081676808738
"11","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","white","Vertical",952,630,148.036782216072
"12","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","white","Vertical",959,911,375.229115193489
"13","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","white","Vertical",1161,596,342.326192720075
"14","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","white","Vertical",1239,445,434.797526314133
"15","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","white","Vertical",607,307,332.725445708954
"16","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","purple","Horizontal",1425,563,185.685432923533
"17","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","purple","Horizontal",1390,670,157.961640913229
"18","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","purple","Horizontal",1444,338,335.369467900702
"19","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","purple","Horizontal",1353,916,326.641209892445
"20","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","purple","Horizontal",1560,480,340.123330572897
"21","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","purple","Horizontal",1235,716,108.642901286739
"22","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","purple","Horizontal",913,536,339.479719570993
"23","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","purple","Horizontal",1600,574,356.804540329856
"24","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","purple","Horizontal",1104,477,192.180331980148
"25","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","purple","Horizontal",1330,801,211.152267333316
"26","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","purple","Horizontal",778,729,482.27759641103
"27","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","purple","Horizontal",1371,473,184.655029717579
"28","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","purple","Horizontal",786,192,619.182590194524
"29","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","purple","Horizontal",913,780,373.823594760951
"30","image56_15_white_Vertical_h_15_purple_Horizontal_nh.png","purple","Vertical",1470,872,347.155123827951
