"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","blue","Vertical",759,374,165.654446229359
"2","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","blue","Vertical",1023,288,283.210749952909
"3","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","blue","Vertical",921,480,77.89434439604
"4","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","blue","Vertical",610,422,256.562134557867
"5","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","blue","Vertical",994,701,237.260887819482
"6","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","blue","Vertical",667,559,188.985701987096
"7","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","blue","Vertical",486,664,394.45641358992
"8","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","blue","Vertical",1063,513,212.867710614415
"9","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","blue","Vertical",1168,707,372.738955421739
"10","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","blue","Vertical",561,321,346.708132135502
"11","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","blue","Vertical",673,291,283.486617360013
"12","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","blue","Vertical",761,801,302.114540457019
"13","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","blue","Vertical",1162,197,443.504147544179
"14","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","blue","Vertical",1198,903,523.098138232418
"15","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","blue","Horizontal",706,464,152.021475091149
"16","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","red","Horizontal",1389,483,78.6577396064749
"17","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","red","Horizontal",1621,770,383.896913246252
"18","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","red","Horizontal",1205,339,222.390287557708
"19","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","red","Horizontal",1536,645,242.80205929934
"20","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","red","Horizontal",1242,580,97.4691746143364
"21","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","red","Horizontal",1389,206,327.55463666387
"22","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","red","Horizontal",1588,306,344.445409317645
"23","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","red","Horizontal",930,831,497.488130511674
"24","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","red","Horizontal",927,594,402.416749154406
"25","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","red","Horizontal",1305,757,230.767068707821
"26","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","red","Horizontal",1532,503,209.578720293831
"27","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","red","Horizontal",1517,194,384.987324466663
"28","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","red","Horizontal",1444,712,220.619672740216
"29","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","red","Horizontal",1439,375,190.722416092079
"30","image57_15_blue_Vertical_nh_15_red_Horizontal_nh.png","red","Vertical",793,610,537.250072126566
