"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","red","Vertical",424,668,320.277241013331
"2","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","red","Vertical",1133,645,462.328070145481
"3","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","red","Vertical",1172,222,550.751890096116
"4","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","red","Vertical",448,314,307.470829691389
"5","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","red","Vertical",439,780,381.41540492108
"6","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","red","Vertical",976,595,297.595885574904
"7","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","red","Vertical",737,344,158.870527299573
"8","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","red","Vertical",431,562,271.77167704609
"9","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","red","Vertical",575,476,121.792628859239
"10","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","red","Vertical",587,290,233.626720313504
"11","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","red","Vertical",749,197,305.029907458997
"12","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","red","Vertical",1235,916,683.421864183788
"13","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","red","Vertical",872,546,183.668300053233
"14","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","red","Vertical",344,345,382.516724398352
"15","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","red","Horizontal",302,558,397.609411916323
"16","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","blue","Horizontal",957,195,490.348973237995
"17","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","blue","Horizontal",1520,469,300.874584429386
"18","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","blue","Horizontal",1466,840,332.253892210293
"19","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","blue","Horizontal",978,810,345.110005006455
"20","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","blue","Horizontal",1279,743,155.047462267383
"21","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","blue","Horizontal",1565,882,431.882911086893
"22","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","blue","Horizontal",1344,387,227.237135071615
"23","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","blue","Horizontal",1388,747,210.95319122708
"24","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","blue","Horizontal",1550,679,317.000813178067
"25","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","blue","Horizontal",801,645,447.456495712774
"26","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","blue","Horizontal",1241,437,154.725506049333
"27","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","blue","Horizontal",820,271,532.615103887309
"28","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","blue","Horizontal",881,783,411.459170378895
"29","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","blue","Horizontal",1512,369,347.458077407269
"30","image58_15_red_Vertical_nh_15_blue_Horizontal_nh.png","blue","Vertical",1377,618,134.33955320588
