"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image5_15_blue_T_h_15_red_0_nh.png","blue","T",938,825,270.235494008878
"2","image5_15_blue_T_h_15_red_0_nh.png","blue","T",715,462,156.159818419749
"3","image5_15_blue_T_h_15_red_0_nh.png","blue","T",1018,428,285.733364442369
"4","image5_15_blue_T_h_15_red_0_nh.png","blue","T",745,762,168.599789112824
"5","image5_15_blue_T_h_15_red_0_nh.png","blue","T",917,660,141.347876610235
"6","image5_15_blue_T_h_15_red_0_nh.png","blue","T",1218,616,428.990546386385
"7","image5_15_blue_T_h_15_red_0_nh.png","blue","T",745,212,389.862226376903
"8","image5_15_blue_T_h_15_red_0_nh.png","blue","T",474,641,318.074240111051
"9","image5_15_blue_T_h_15_red_0_nh.png","blue","T",372,643,419.611592891437
"10","image5_15_blue_T_h_15_red_0_nh.png","blue","T",322,502,477.361730998854
"11","image5_15_blue_T_h_15_red_0_nh.png","blue","T",509,753,319.687694824531
"12","image5_15_blue_T_h_15_red_0_nh.png","blue","T",1237,287,545.854885070708
"13","image5_15_blue_T_h_15_red_0_nh.png","blue","T",577,865,340.094431330803
"14","image5_15_blue_T_h_15_red_0_nh.png","blue","T",1175,883,478.754170274845
"15","image5_15_blue_T_h_15_red_0_nh.png","blue","T",878,451,172.813644008671
"16","image5_15_blue_T_h_15_red_0_nh.png","red","0",1561,421,346.235019732102
"17","image5_15_blue_T_h_15_red_0_nh.png","red","0",862,890,496.387505438599
"18","image5_15_blue_T_h_15_red_0_nh.png","red","0",1359,808,230.648265161961
"19","image5_15_blue_T_h_15_red_0_nh.png","red","0",1627,600,363.538474198017
"20","image5_15_blue_T_h_15_red_0_nh.png","red","0",1115,756,216.760902583674
"21","image5_15_blue_T_h_15_red_0_nh.png","red","0",930,299,447.929557954026
"22","image5_15_blue_T_h_15_red_0_nh.png","red","0",1582,710,337.627835871919
"23","image5_15_blue_T_h_15_red_0_nh.png","red","0",1105,166,460.210048661357
"24","image5_15_blue_T_h_15_red_0_nh.png","red","0",1282,722,125.311434257036
"25","image5_15_blue_T_h_15_red_0_nh.png","red","0",1448,674,199.545539219052
"26","image5_15_blue_T_h_15_red_0_nh.png","red","0",1553,853,385.772673417332
"27","image5_15_blue_T_h_15_red_0_nh.png","red","0",1128,320,309.309374072124
"28","image5_15_blue_T_h_15_red_0_nh.png","red","0",1104,597,159.470234073809
"29","image5_15_blue_T_h_15_red_0_nh.png","red","0",1465,799,284.587225449226
"30","image5_15_blue_T_h_15_red_0_nh.png","red","T",831,356,495.604367302074
