"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","red","Vertical",1135,265,532.030492025076
"2","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","red","Vertical",1092,537,379.540921523768
"3","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","red","Vertical",1187,793,510.716533683586
"4","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","red","Vertical",639,888,304.296091186054
"5","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","red","Vertical",654,704,126.805012168727
"6","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","red","Vertical",300,798,464.073605273033
"7","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","red","Vertical",585,446,197.98613868428
"8","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","red","Vertical",379,692,351.720122319501
"9","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","red","Vertical",392,309,431.9291351342
"10","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","red","Vertical",872,245,381.797299332745
"11","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","red","Vertical",372,900,461.085145185909
"12","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","red","Vertical",752,355,241.390094614045
"13","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","red","Vertical",1210,427,520.705525651922
"14","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","red","Vertical",714,789,195.219136129405
"15","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","red","Vertical",468,759,298.595564453177
"16","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","blue","Horizontal",1382,234,331.494508082546
"17","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","blue","Horizontal",1592,366,358.23875961276
"18","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","blue","Horizontal",1268,218,333.513931076683
"19","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","blue","Horizontal",1030,204,430.832150868784
"20","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","blue","Horizontal",1306,495,59.777439073803
"21","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","blue","Horizontal",1253,647,101.214338026893
"22","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","blue","Horizontal",1409,629,146.231126037592
"23","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","blue","Horizontal",981,537,304.591653785122
"24","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","blue","Horizontal",1533,706,292.191961255306
"25","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","blue","Horizontal",883,812,479.483759428362
"26","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","blue","Horizontal",865,688,442.012227080755
"27","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","blue","Horizontal",1065,665,247.988324097908
"28","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","blue","Horizontal",1575,847,414.152076201752
"29","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","blue","Horizontal",1621,629,344.659941907318
"30","image62_15_red_Vertical_h_15_blue_Horizontal_h.png","blue","Horizontal",1516,589,233.830726999017
