"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","white","Vertical",350,413,444.5834904717
"2","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","white","Vertical",1237,558,456.626411851089
"3","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","white","Vertical",624,706,246.318249425413
"4","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","white","Vertical",474,176,459.78764663701
"5","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","white","Vertical",696,432,121.200165016389
"6","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","white","Vertical",343,892,577.383477422068
"7","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","white","Vertical",791,811,293.931760788112
"8","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","white","Vertical",797,308,209.722864752511
"9","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","white","Vertical",1076,518,293.801089174291
"10","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","white","Vertical",518,821,402.611574597651
"11","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","white","Vertical",1154,330,416.268038648177
"12","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","white","Vertical",645,190,354.800901915426
"13","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","white","Vertical",1116,613,347.275222266144
"14","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","white","Vertical",1257,444,480.409491996151
"15","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","white","Vertical",655,546,130.419630424258
"16","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","purple","Horizontal",1534,468,285.322935947634
"17","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","purple","Horizontal",1479,674,237.172323661744
"18","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","purple","Horizontal",842,563,424.83021445174
"19","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","purple","Horizontal",984,328,370.955313271618
"20","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","purple","Horizontal",962,917,463.31146231354
"21","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","purple","Horizontal",1433,873,347.284865460299
"22","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","purple","Horizontal",1393,534,130.717167111967
"23","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","purple","Horizontal",1375,225,359.724863997164
"24","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","purple","Horizontal",1369,757,214.803734707859
"25","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","purple","Horizontal",1164,194,387.935189317895
"26","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","purple","Horizontal",867,703,421.956211524898
"27","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","purple","Horizontal",1310,348,224.266755846197
"28","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","purple","Horizontal",1628,833,447.945433184792
"29","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","purple","Horizontal",1568,309,397.287021909573
"30","image64_15_white_Vertical_h_15_purple_Horizontal_h.png","purple","Horizontal",1094,795,285.234250709444
