"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image8_15_white_T_h_15_purple_0_nh.png","white","T",578,782,368.947000108266
"2","image8_15_white_T_h_15_purple_0_nh.png","white","T",890,818,284.790956473145
"3","image8_15_white_T_h_15_purple_0_nh.png","white","T",1228,410,395.812104693909
"4","image8_15_white_T_h_15_purple_0_nh.png","white","T",1131,570,280.442903675993
"5","image8_15_white_T_h_15_purple_0_nh.png","white","T",1088,209,402.607611563528
"6","image8_15_white_T_h_15_purple_0_nh.png","white","T",768,187,358.799232007106
"7","image8_15_white_T_h_15_purple_0_nh.png","white","T",904,301,240.215643861002
"8","image8_15_white_T_h_15_purple_0_nh.png","white","T",453,807,483.06854816084
"9","image8_15_white_T_h_15_purple_0_nh.png","white","T",293,163,672.389189548897
"10","image8_15_white_T_h_15_purple_0_nh.png","white","T",604,461,259.634786232936
"11","image8_15_white_T_h_15_purple_0_nh.png","white","T",1077,429,248.401332971911
"12","image8_15_white_T_h_15_purple_0_nh.png","white","T",1110,758,340.077278799328
"13","image8_15_white_T_h_15_purple_0_nh.png","white","T",509,628,355.854214843975
"14","image8_15_white_T_h_15_purple_0_nh.png","white","T",901,682,154.108908099291
"15","image8_15_white_T_h_15_purple_0_nh.png","white","T",1256,830,499.309411977072
"16","image8_15_white_T_h_15_purple_0_nh.png","purple","0",1331,743,171.373562073553
"17","image8_15_white_T_h_15_purple_0_nh.png","purple","0",1565,791,338.862948369658
"18","image8_15_white_T_h_15_purple_0_nh.png","purple","0",1630,246,461.414597852204
"19","image8_15_white_T_h_15_purple_0_nh.png","purple","0",789,578,516.085423592301
"20","image8_15_white_T_h_15_purple_0_nh.png","purple","0",1389,606,89.9697974013749
"21","image8_15_white_T_h_15_purple_0_nh.png","purple","0",1603,369,361.421403781114
"22","image8_15_white_T_h_15_purple_0_nh.png","purple","0",785,792,564.063735563436
"23","image8_15_white_T_h_15_purple_0_nh.png","purple","0",1577,691,296.193345262479
"24","image8_15_white_T_h_15_purple_0_nh.png","purple","0",1401,454,153.321115455258
"25","image8_15_white_T_h_15_purple_0_nh.png","purple","0",1117,871,351.874737813204
"26","image8_15_white_T_h_15_purple_0_nh.png","purple","0",1059,650,257.654350719029
"27","image8_15_white_T_h_15_purple_0_nh.png","purple","0",1492,617,191.905265980669
"28","image8_15_white_T_h_15_purple_0_nh.png","purple","0",869,439,456.367502981728
"29","image8_15_white_T_h_15_purple_0_nh.png","purple","0",1446,240,362.147986939655
"30","image8_15_white_T_h_15_purple_0_nh.png","purple","T",1523,517,225.163269157689
