"","quantityLeft","quantityRight","colorLeft","colorRight","shapeLeft","shapeRight","trialType"
"1",15,15,"blue","red","T","0","nhLeft"
"2",15,15,"red","blue","T","0","nhLeft"
"3",15,15,"purple","white","T","0","nhLeft"
"4",15,15,"white","purple","T","0","nhLeft"
"5",15,15,"blue","red","T","0","nhRight"
"6",15,15,"red","blue","T","0","nhRight"
"7",15,15,"purple","white","T","0","nhRight"
"8",15,15,"white","purple","T","0","nhRight"
"9",15,15,"blue","red","T","0","nhBoth"
"10",15,15,"red","blue","T","0","nhBoth"
"11",15,15,"purple","white","T","0","nhBoth"
"12",15,15,"white","purple","T","0","nhBoth"
"13",15,15,"blue","red","T","0","hBoth"
"14",15,15,"red","blue","T","0","hBoth"
"15",15,15,"purple","white","T","0","hBoth"
"16",15,15,"white","purple","T","0","hBoth"
"17",15,15,"blue","red","0","T","nhLeft"
"18",15,15,"red","blue","0","T","nhLeft"
"19",15,15,"purple","white","0","T","nhLeft"
"20",15,15,"white","purple","0","T","nhLeft"
"21",15,15,"blue","red","0","T","nhRight"
"22",15,15,"red","blue","0","T","nhRight"
"23",15,15,"purple","white","0","T","nhRight"
"24",15,15,"white","purple","0","T","nhRight"
"25",15,15,"blue","red","0","T","nhBoth"
"26",15,15,"red","blue","0","T","nhBoth"
"27",15,15,"purple","white","0","T","nhBoth"
"28",15,15,"white","purple","0","T","nhBoth"
"29",15,15,"blue","red","0","T","hBoth"
"30",15,15,"red","blue","0","T","hBoth"
"31",15,15,"purple","white","0","T","hBoth"
"32",15,15,"white","purple","0","T","hBoth"
"33",15,15,"blue","red","Horizontal","Vertical","nhLeft"
"34",15,15,"red","blue","Horizontal","Vertical","nhLeft"
"35",15,15,"purple","white","Horizontal","Vertical","nhLeft"
"36",15,15,"white","purple","Horizontal","Vertical","nhLeft"
"37",15,15,"blue","red","Horizontal","Vertical","nhRight"
"38",15,15,"red","blue","Horizontal","Vertical","nhRight"
"39",15,15,"purple","white","Horizontal","Vertical","nhRight"
"40",15,15,"white","purple","Horizontal","Vertical","nhRight"
"41",15,15,"blue","red","Horizontal","Vertical","nhBoth"
"42",15,15,"red","blue","Horizontal","Vertical","nhBoth"
"43",15,15,"purple","white","Horizontal","Vertical","nhBoth"
"44",15,15,"white","purple","Horizontal","Vertical","nhBoth"
"45",15,15,"blue","red","Horizontal","Vertical","hBoth"
"46",15,15,"red","blue","Horizontal","Vertical","hBoth"
"47",15,15,"purple","white","Horizontal","Vertical","hBoth"
"48",15,15,"white","purple","Horizontal","Vertical","hBoth"
"49",15,15,"blue","red","Vertical","Horizontal","nhLeft"
"50",15,15,"red","blue","Vertical","Horizontal","nhLeft"
"51",15,15,"purple","white","Vertical","Horizontal","nhLeft"
"52",15,15,"white","purple","Vertical","Horizontal","nhLeft"
"53",15,15,"blue","red","Vertical","Horizontal","nhRight"
"54",15,15,"red","blue","Vertical","Horizontal","nhRight"
"55",15,15,"purple","white","Vertical","Horizontal","nhRight"
"56",15,15,"white","purple","Vertical","Horizontal","nhRight"
"57",15,15,"blue","red","Vertical","Horizontal","nhBoth"
"58",15,15,"red","blue","Vertical","Horizontal","nhBoth"
"59",15,15,"purple","white","Vertical","Horizontal","nhBoth"
"60",15,15,"white","purple","Vertical","Horizontal","nhBoth"
"61",15,15,"blue","red","Vertical","Horizontal","hBoth"
"62",15,15,"red","blue","Vertical","Horizontal","hBoth"
"63",15,15,"purple","white","Vertical","Horizontal","hBoth"
"64",15,15,"white","purple","Vertical","Horizontal","hBoth"
